CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME
0000003662,SUNBEAM CORP/FL/,199803,6/3/1998,10-K405,edgar/data/3662/0000950170-98-000413.txt
0000003662,SUNBEAM CORP/FL/,199805,15/5/1998,10-Q,edgar/data/3662/0000950170-98-001001.txt
0000003662,SUNBEAM CORP/FL/,199808,13/8/1998,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt
0000003662,SUNBEAM CORP/FL/,199811,12/11/1998,10-K/A,edgar/data/3662/0000950170-98-002145.txt
0000003662,SUNBEAM CORP/FL/,199811,16/11/1998,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt
0000003662,SUNBEAM CORP/FL/,199811,25/11/1998,10-Q/A,edgar/data/3662/0000950170-98-002278.txt
0000003662,SUNBEAM CORP/FL/,199812,22/12/1998,10-Q,edgar/data/3662/0000950170-98-002401.txt
0000003662,SUNBEAM CORP/FL/,199812,22/12/1998,10-Q,edgar/data/3662/0000950170-98-002402.txt
0000003662,SUNBEAM CORP/FL/,199903,31/3/1999,NT 10-K,edgar/data/3662/0000950172-99-000362.txt
0000003662,SUNBEAM CORP/FL/,199905,11/5/1999,10-K,edgar/data/3662/0000950170-99-000775.txt
0000003662,SUNBEAM CORP/FL/,199905,17/5/1999,NT 10-Q,edgar/data/3662/0000950172-99-000584.txt
0000003662,SUNBEAM CORP/FL/,199906,11/6/1999,10-Q,edgar/data/3662/0000950170-99-001005.txt
0000003662,SUNBEAM CORP/FL/,199908,16/8/1999,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt
0000003662,SUNBEAM CORP/FL/,199908,19/8/1999,10-Q,edgar/data/3662/0000950170-99-001361.txt
0000003662,SUNBEAM CORP/FL/,199911,8/11/1999,10-K/A,edgar/data/3662/0000889812-99-003241.txt
0000003662,SUNBEAM CORP/FL/,199911,8/11/1999,10-Q/A,edgar/data/3662/0000950170-99-001639.txt
0000003662,SUNBEAM CORP/FL/,199911,8/11/1999,10-Q/A,edgar/data/3662/0000950170-99-001640.txt
0000003662,SUNBEAM CORP/FL/,199911,15/11/1999,NT 10-Q,edgar/data/3662/0000950172-99-001626.txt
0000003662,SUNBEAM CORP/FL/,199911,19/11/1999,10-Q,edgar/data/3662/0000950170-99-001856.txt
0000003982,ALLIS CHALMERS ENERGY INC.,200603,22/3/2006,10-K,edgar/data/3982/0000950129-06-002926.txt
0000003982,ALLIS CHALMERS ENERGY INC.,200605,1/5/2006,10-K/A,edgar/data/3982/0000950129-06-004690.txt
0000003982,ALLIS CHALMERS ENERGY INC.,200605,10/5/2006,10-Q,edgar/data/3982/0000950129-06-005244.txt
0000003982,ALLIS CHALMERS ENERGY INC.,200607,24/7/2006,10-K/A,edgar/data/3982/0000950129-06-007243.txt
0000003982,ALLIS CHALMERS ENERGY INC.,200607,24/7/2006,10-Q/A,edgar/data/3982/0000950129-06-007244.txt
0000003982,ALLIS CHALMERS ENERGY INC.,200608,14/8/2006,10-Q,edgar/data/3982/0000950129-06-007871.txt
0000003982,ALLIS CHALMERS ENERGY INC.,200611,8/11/2006,10-Q,edgar/data/3982/0000950129-06-009522.txt
