,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,word_count,complex_word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
0,3662,SUNBEAM CORP/FL/,199803,6/3/1998,10-K405,edgar/data/3662/0000950170-98-000413.txt,1065,3001,-0.4761436299861919,15,0.4147426212414615,6.165897048496586,93986,38980,940,1487,0.011331474900517098,0.03193028748962611,0.010001489583554998,0.01582150533058115,1487
1,3662,SUNBEAM CORP/FL/,199805,15/5/1998,10-Q,edgar/data/3662/0000950170-98-001001.txt,585,1479,-0.4331395346738665,15,0.4299995059369905,6.171999802374796,60721,26110,859,1046,0.009634228685298332,0.024357306368472192,0.014146670838754302,0.017226330264653086,1046
2,3662,SUNBEAM CORP/FL/,199808,13/8/1998,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt,2,8,-0.599999940000006,30,0.3207236842105263,12.128289473684212,608,195,9,5,0.003289473684210526,0.013157894736842105,0.014802631578947368,0.008223684210526315,5
3,3662,SUNBEAM CORP/FL/,199811,12/11/1998,10-K/A,edgar/data/3662/0000950170-98-002145.txt,368,1444,-0.5938189842197467,13,0.4297276329859728,5.371891053194389,47693,20495,553,716,0.007716017025559307,0.030276979850292495,0.011594992975908415,0.01501268529972952,716
4,3662,SUNBEAM CORP/FL/,199811,16/11/1998,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt,3,8,-0.4545454132231443,29,0.3006802721088435,11.720272108843538,735,221,10,4,0.004081632653061225,0.010884353741496598,0.013605442176870748,0.005442176870748299,4
5,3662,SUNBEAM CORP/FL/,199811,25/11/1998,10-Q/A,edgar/data/3662/0000950170-98-002278.txt,46,420,-0.8025751055738731,14,0.4180900204103556,5.767236008164143,9309,3892,179,91,0.004941454506391664,0.045117628101836935,0.01922870340530669,0.009775486088731335,91
6,3662,SUNBEAM CORP/FL/,199812,22/12/1998,10-Q,edgar/data/3662/0000950170-98-002401.txt,125,594,-0.6522948530566136,14,0.4061244019138756,5.76244976076555,15675,6366,279,271,0.007974481658692184,0.037894736842105266,0.017799043062200957,0.017288676236044655,271
7,3662,SUNBEAM CORP/FL/,199812,22/12/1998,10-Q,edgar/data/3662/0000950170-98-002402.txt,62,367,-0.7109557092984715,13,0.4204965121050472,5.368198604842019,9748,4099,201,105,0.006360279031596225,0.03764874846122281,0.020619614279852278,0.010771440295445219,105
8,3662,SUNBEAM CORP/FL/,199903,31/3/1999,NT 10-K,edgar/data/3662/0000950172-99-000362.txt,2,6,-0.4999999375000079,31,0.29069767441860467,12.516279069767442,688,200,8,3,0.0029069767441860465,0.00872093023255814,0.011627906976744186,0.00436046511627907,3
9,3662,SUNBEAM CORP/FL/,199905,11/5/1999,10-K,edgar/data/3662/0000950170-99-000775.txt,408,1649,-0.603305784830673,13,0.4324586567667904,5.372983462706717,47408,20502,668,501,0.00860614242321971,0.034783158960513,0.014090448869389132,0.01056783665204185,501
10,3662,SUNBEAM CORP/FL/,199905,17/5/1999,NT 10-Q,edgar/data/3662/0000950172-99-000584.txt,2,6,-0.4999999375000079,32,0.2935251798561151,12.917410071942449,695,204,13,3,0.0028776978417266188,0.008633093525179856,0.01870503597122302,0.004316546762589928,3
11,3662,SUNBEAM CORP/FL/,199906,11/6/1999,10-Q,edgar/data/3662/0000950170-99-001005.txt,69,385,-0.6960352407576317,16,0.4173011144212733,6.56692044576851,9063,3782,204,82,0.007613373055279708,0.042480414873662144,0.022509102946044357,0.009047776674390379,82
12,3662,SUNBEAM CORP/FL/,199908,16/8/1999,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt,2,5,-0.4285713673469475,32,0.28129829984544047,12.912519319938177,647,182,7,3,0.0030911901081916537,0.0077279752704791345,0.010819165378670788,0.00463678516228748,3
